Region,Country,State,City,Month,Day,Year,AvgTemperature
Europe,Yugoslavia,,Belgrade,11,14,2012,43.2
South/Central America & Carribean,Belize,,Belize City,7,2,2017,84.1
North America,US,Utah,Salt Lake City,1,21,2004,21.6
North America,US,Oklahoma,Tulsa,3,21,1996,41.7
Asia,Vietnam,,Hanoi,5,2,2019,77.1
Africa,Nigeria,,Niamey,1,31,2016,73.6
Africa,Togo,,Lome,11,21,2008,82.9
Europe,Belarus,,Minsk,7,24,2001,75.6
Africa,Nigeria,,Niamey,4,30,2018,98.8
South/Central America & Carribean,Nicaragua,,Managua,6,24,2004,81.2
North America,US,Montana,Helena,12,5,2011,6.3
North America,US,Georgia,Savannah,2,19,2000,64.4
Asia,Sri Lanka,,Colombo,2,25,2020,83.2
Middle East,Qatar,,Doha,6,20,1998,94.1
North America,US,Florida,Jacksonville,4,4,2015,70.9
North America,US,California,San Francisco,12,16,2018,57.3
Australia/South Pacific,Australia,,Brisbane,2,18,2007,71.6
North America,US,California,San Diego,2,28,2011,53.4
North America,US,Arizona,Tucson,4,6,1998,58.0
North America,US,Florida,Tallahassee,11,2,1995,75.9
North America,US,Michigan,Grand Rapids,1,14,1999,3.6
North America,US,Florida,Jacksonville,5,23,2010,78.2
Asia,Nepal,,Katmandu,11,23,1997,51.9
North America,US,Texas,San Angelo,8,10,2019,88.4
North America,US,Texas,Lubbock,11,27,2009,49.7
Africa,Mozambique,,Maputo,5,19,1995,73.2
North America,US,Virginia,Richmond,9,21,2014,73.0
North America,US,Mississippi,Jackson,8,27,2018,81.9
Asia,India,,Delhi,1,23,2012,55.4
Asia,Kyrgyzstan,,Bishkek,5,6,2002,58.4
North America,US,Louisiana,Baton Rouge,7,26,2002,78.1
Asia,India,,Calcutta,6,4,2017,92.4
North America,US,Pennsylvania,Erie,2,16,2018,39.0
North America,US,Vermont,Burlington,3,16,2011,37.8
Asia,Pakistan,,Karachi,4,9,2016,84.1
Asia,Pakistan,,Islamabad,12,25,2010,50.1
Africa,Central African Republic,,Bangui,4,8,2008,74.8
Africa,Gabon,,Libreville,5,26,2003,81.4
North America,US,New Jersey,Newark,5,2,2014,65.0
Asia,China,,Shenyang,3,27,2014,56.9
North America,US,Kansas,Topeka,4,8,2020,68.1
Australia/South Pacific,Australia,,Sydney,2,1,2001,82.2
North America,US,Texas,Midland Odessa,11,3,2012,66.4
Europe,Germany,,Bonn,3,6,1998,-99.0
North America,US,Louisiana,Shreveport,3,27,2005,52.4
North America,US,Colorado,Grand Junction,2,12,2011,24.4
North America,US,Texas,Wichita Falls,1,5,1997,44.6
South/Central America & Carribean,Equador,,Quito,11,18,2009,57.7
North America,US,Maryland,Washington DC,5,19,1997,77.6
North America,US,Texas,Wichita Falls,9,2,2015,82.1
Asia,Pakistan,,Karachi,11,15,2013,74.2
North America,US,South Dakota,Sioux Falls,5,27,1998,66.8
Europe,United Kingdom,,London,11,18,2017,45.1
Africa,Sierra Leone,,Freetown,8,2,1998,-99.0
Africa,Central African Republic,,Bangui,3,23,2017,76.8
North America,US,Arkansas,Little Rock,12,15,2010,39.7
Europe,Macedonia,,Skopje,1,9,2015,22.4
Africa,Sierra Leone,,Freetown,4,7,1997,-99.0
South/Central America & Carribean,Guatemala,,Guatemala City,10,14,2009,69.1
Africa,Mozambique,,Maputo,7,6,2009,67.0
North America,US,Texas,Midland Odessa,3,22,2013,60.7
Asia,Philippines,,Manila,7,20,2017,81.0
North America,US,West Virginia,Elkins,5,16,1997,42.6
Asia,Hong Kong,,Hong Kong,9,25,2009,87.3
North America,US,Indiana,Indianapolis,5,13,2004,71.1
Middle East,United Arab Emirates,,Dubai,12,20,2012,72.3
Asia,Indonesia,,Jakarta,3,13,2002,84.0
North America,US,Iowa,Des Moines,3,15,2006,35.0
North America,US,Nevada,Las Vegas,5,8,2019,73.5
North America,US,Virginia,Roanoke,2,26,2020,51.9
North America,US,Vermont,Burlington,12,13,2001,39.8
North America,US,Kentucky,Lexington,6,21,1999,73.9
Asia,Mongolia,,Ulan-bator,9,24,1996,45.7
North America,US,Kentucky,Lexington,1,9,2011,11.9
Asia,India,,Bombay (Mumbai),1,26,2007,80.3
Europe,Spain,,Bilbao,1,16,2014,52.2
Africa,Burundi,,Bujumbura,8,13,1997,-99.0
North America,US,Missouri,Springfield,2,7,2016,40.5
Africa,Morocco,,Rabat,9,12,2004,74.2
Australia/South Pacific,Australia,,Brisbane,3,25,2013,77.0
North America,US,District of Columbia,Washington,11,12,2012,57.8
North America,US,Connecticut,Hartford Springfield,6,8,2010,62.8
North America,US,South Dakota,Rapid City,4,4,1999,23.4
North America,US,New York,Albany,12,2,2000,24.6
Africa,Gabon,,Libreville,3,31,2000,84.2
Africa,Nigeria,,Niamey,12,3,2009,77.9
Africa,Benin,,Cotonou,10,21,2008,82.4
Asia,Nepal,,Katmandu,7,14,2017,74.4
North America,US,Ohio,Youngstown,4,14,2002,56.6
North America,US,Connecticut,Bridgeport,8,6,2010,81.3
North America,US,Maryland,Washington DC,12,5,2000,38.2
North America,US,Massachusetts,Boston,6,10,2014,68.1
Asia,China,,Beijing,7,6,2013,84.1
Africa,Nigeria,,Niamey,7,23,2010,80.9
Africa,Mauritania,,Nouakchott,3,29,2013,81.0
North America,US,Wisconsin,Madison,12,30,2018,24.0
North America,US,Rhode Island,Rhode Island,4,25,2012,51.4
Africa,Algeria,,Algiers,6,9,2007,70.8
Europe,Czech Republic,,Prague,10,26,2008,38.1
North America,US,Pennsylvania,Pittsburgh,9,29,1998,61.4
North America,US,Tennessee,Knoxville,7,29,2010,76.7
South/Central America & Carribean,Honduras,,Tegucigalpa,3,31,2019,71.8
North America,US,Texas,San Angelo,3,22,2011,73.8
North America,US,Washington,Spokane,8,13,2003,68.8
Europe,Austria,,Vienna,6,30,2009,71.2
South/Central America & Carribean,Venezuela,,Caracas,7,31,2002,83.5
South/Central America & Carribean,Brazil,,Brasilia,11,25,2004,72.2
North America,US,Florida,Daytona Beach,10,30,2003,69.0
North America,US,Ohio,Cincinnati,11,2,2007,45.5
North America,US,Oregon,Portland,3,21,2018,54.0
Middle East,Lebanon,,Beirut,10,5,2001,78.4
Africa,South Africa,,Capetown,7,26,2017,50.0
Asia,China,,Shenyang,6,1,2017,65.1
North America,US,Texas,Brownsville,3,3,2014,53.1
North America,US,Kansas,Goodland,9,3,1997,64.4
Asia,Malaysia,,Kuala Lumpur,8,4,2011,79.9
North America,US,Tennessee,Knoxville,2,5,2005,41.2
North America,US,Washington,Spokane,12,25,1995,21.1
Europe,United Kingdom,,London,4,6,2015,49.1
North America,US,Illinois,Rockford,11,24,2015,27.3
Africa,Tunisia,,Tunis,4,4,2015,58.6
Asia,Taiwan,,Taipei,3,29,2007,76.3
North America,US,Wyoming,Cheyenne,3,8,2004,47.5
North America,US,Arkansas,Fort Smith,4,4,2004,59.0
North America,US,Nebraska,North Platte,5,17,2009,59.2
Middle East,United Arab Emirates,,Abu Dhabi,4,23,2014,86.4
Asia,China,,Shenyang,11,9,2001,36.2
North America,US,Virginia,Norfolk,4,23,2016,64.8
Asia,Singapore,,Singapore,4,26,2005,87.3
South/Central America & Carribean,Brazil,,Brasilia,11,13,2017,74.5
North America,US,Kansas,Topeka,12,26,1997,31.2
North America,US,California,Sacramento,7,2,2006,72.2
North America,US,Missouri,St Louis,5,8,2000,76.3
North America,US,Louisiana,Lake Charles,4,13,2003,65.8
North America,US,Illinois,Chicago,6,7,2011,85.5
South/Central America & Carribean,Dominican Republic,,Santo Domingo,12,24,2006,79.4
Middle East,Qatar,,Doha,11,26,2002,72.0
Asia,China,,Beijing,2,12,2002,35.2
Europe,Greece,,Athens,7,1,2002,80.5
Europe,Slovakia,,Bratislava,4,2,2004,50.8
Africa,Egypt,,Cairo,7,21,2009,86.3
Africa,Kenya,,Nairobi,6,17,2011,68.0
Europe,France,,Bordeaux,8,10,1997,77.4
Africa,Tanzania,,Dar Es Salaam,3,18,2000,-99.0
Middle East,Turkey,,Ankara,3,25,2005,39.4
North America,US,Missouri,Springfield,12,4,2003,34.6
Europe,Switzerland,,Bern,12,2,1999,40.3
South/Central America & Carribean,Guatemala,,Guatemala City,3,11,2016,68.5
North America,Canada,,Edmonton,11,30,2009,35.3
Asia,Nepal,,Katmandu,11,27,2000,59.0
North America,US,Massachusetts,Boston,3,20,2006,28.2
North America,US,Texas,Waco,5,2,2019,68.7
North America,US,New York,New York City,11,30,2014,46.5
North America,US,Washington,Seattle,6,1,2007,65.8
Asia,Taiwan,,Taipei,3,16,2015,73.0
Africa,Nigeria,,Niamey,6,22,2014,89.1
Middle East,United Arab Emirates,,Abu Dhabi,5,24,2017,90.1
Europe,Spain,,Barcelona,6,28,2014,75.0
South/Central America & Carribean,Dominican Republic,,Santo Domingo,7,9,2016,82.5
North America,US,Montana,Billings,9,3,2001,74.8
North America,US,Virginia,Norfolk,6,20,1998,77.7
Asia,Kazakhstan,,Almaty,7,11,2014,87.3
Europe,Yugoslavia,,Belgrade,9,29,2008,54.9
North America,US,Texas,Amarillo,6,23,2018,76.3
North America,US,Utah,Salt Lake City,3,22,2001,51.7
Middle East,Oman,,Muscat,1,3,2012,74.0
Europe,Austria,,Vienna,12,15,2014,36.3
Africa,Mauritania,,Nouakchott,9,11,2003,85.0
Asia,Turkmenistan,,Ashabad,8,15,2000,91.3
North America,US,Illinois,Chicago,5,6,2017,51.0
North America,US,Pennsylvania,Erie,10,9,1995,54.0
Africa,Zambia,,Lusaka,7,15,2004,52.2
Europe,Germany,,Bonn,7,1,1996,-99.0
Asia,China,,Guangzhou,12,4,2014,56.7
South/Central America & Carribean,Brazil,,Rio de Janeiro,2,24,2019,86.3
North America,US,Alaska,Fairbanks,10,12,1996,15.0
Europe,Slovakia,,Bratislava,1,15,2006,27.0
Australia/South Pacific,Australia,,Brisbane,3,16,2014,78.0
Europe,Yugoslavia,,Belgrade,11,4,2009,37.3
North America,US,Georgia,Columbus,1,29,2020,46.8
North America,Canada,,Winnipeg,3,20,2011,34.9
North America,US,Minnesota,Duluth,1,19,2020,10.0
North America,US,Rhode Island,Rhode Island,12,7,1999,51.7
Asia,India,,Delhi,11,22,2014,63.7
Asia,China,,Guangzhou,12,25,2005,64.6
Asia,China,,Shanghai,6,26,2015,74.5
North America,US,Arizona,Tucson,4,8,2015,68.5
Europe,Portugal,,Lisbon,6,19,2009,83.0
North America,US,Maine,Caribou,9,26,2002,53.8
Europe,Sweden,,Stockholm,1,30,2012,20.3
North America,US,Kansas,Topeka,11,17,1996,34.4
North America,US,Additional Territories,San Juan Puerto Rico,5,9,2006,81.2
North America,US,Maine,Portland,12,6,2006,28.3
Asia,Singapore,,Singapore,5,30,2008,82.1
Europe,Russia,,Moscow,6,29,1995,63.1
Europe,Sweden,,Stockholm,5,20,2016,57.0
North America,US,New York,Albany,4,17,2019,49.6
North America,US,Additional Territories,San Juan Puerto Rico,11,19,2011,80.7
North America,US,West Virginia,Elkins,9,5,2005,60.6
Europe,Italy,,Rome,8,25,2016,78.1
Asia,Singapore,,Singapore,9,19,2007,84.1
North America,US,North Carolina,Raleigh Durham,7,26,2005,87.3
South/Central America & Carribean,Haiti,,Port au Prince,3,28,2018,83.2
Europe,France,,Bordeaux,11,24,2010,40.3
Europe,Greece,,Athens,3,21,1995,58.3
Europe,Latvia,,Riga,2,1,2001,25.0
Europe,Yugoslavia,,Belgrade,11,10,2016,39.4
North America,US,Arizona,Flagstaff,1,1,2000,30.7
North America,US,California,Fresno,10,11,2017,67.0
Africa,Benin,,Cotonou,4,14,2003,83.7
Europe,Ukraine,,Kiev,1,15,1997,34.0
Asia,Singapore,,Singapore,12,7,2006,78.1
North America,US,Kansas,Goodland,6,28,2017,75.1
North America,US,Pennsylvania,Philadelphia,7,19,2017,83.1
North America,US,Vermont,Burlington,7,9,2008,77.2
North America,Mexico,,Mexico City,8,20,2010,64.2
South/Central America & Carribean,Venezuela,,Caracas,12,31,2009,79.1
North America,US,Nebraska,Omaha,8,17,1999,75.0
Africa,Central African Republic,,Bangui,11,1,2018,76.9
Europe,Serbia-Montenegro,,Pristina,5,17,2004,51.9
North America,US,Pennsylvania,Allentown,6,12,2014,64.6
North America,US,Kentucky,Louisville,11,9,2017,46.6
North America,US,Maryland,Washington DC,9,21,2000,73.7
Asia,Tajikistan,,Dusanbe,2,9,2009,46.1
Europe,Germany,,Frankfurt,4,26,2000,72.0
North America,US,Vermont,Burlington,1,30,2014,12.8
Africa,Sierra Leone,,Freetown,7,23,1997,-99.0
North America,US,Illinois,Rockford,3,9,2018,26.4
Asia,Vietnam,,Hanoi,2,16,2008,56.0
Africa,Uganda,,Kampala,10,5,1998,69.0
North America,Canada,,Winnipeg,9,1,2000,51.6
South/Central America & Carribean,Argentina,,Buenos Aires,10,13,2018,56.8
North America,US,Alaska,Juneau,2,5,2002,34.5
North America,Mexico,,Monterrey,1,5,2020,59.2
North America,US,Virginia,Roanoke,2,2,2005,32.2
North America,Canada,,Winnipeg,7,16,1997,74.2
North America,US,New York,Rochester,5,17,2019,61.9
Asia,Sri Lanka,,Colombo,9,8,2001,81.7
South/Central America & Carribean,Belize,,Belize City,3,10,2009,80.3
North America,Canada,,Calgary,1,25,2000,13.0
North America,US,Alaska,Anchorage,8,17,2017,51.8
North America,Mexico,,Guadalajara,9,27,2001,-99.0
North America,US,Ohio,Dayton,8,6,2007,81.5
North America,US,Florida,Tampa St. Petersburg,2,3,2008,65.6
North America,US,Alaska,Anchorage,6,10,1998,48.5
North America,US,Montana,Billings,12,7,2015,43.2
Middle East,Jordan,,Amman,4,21,2004,69.2
South/Central America & Carribean,Equador,,Quito,10,14,2011,56.0
North America,US,Oregon,Salem,9,27,2013,56.4
Africa,Guinea-Bissau,,Bissau,4,18,2001,-99.0
Europe,France,,Bordeaux,6,30,1998,67.5
North America,US,Louisiana,Shreveport,5,14,2017,69.4
North America,US,Vermont,Burlington,11,14,2008,48.0
North America,US,Iowa,Sioux City,3,20,1998,32.5
North America,US,New Hampshire,Concord,12,10,1997,26.1
North America,US,Florida,Tallahassee,1,14,2000,52.5
North America,US,Alaska,Anchorage,7,4,2005,60.4
North America,US,Michigan,Detroit,2,27,1998,44.8
North America,US,Alabama,Mobile,5,14,2009,76.2
South/Central America & Carribean,Equador,,Guayaquil,8,27,2006,74.5
South/Central America & Carribean,Honduras,,Tegucigalpa,7,16,2011,71.4
Asia,Sri Lanka,,Colombo,3,29,2012,81.3
North America,US,Pennsylvania,Pittsburgh,5,31,2007,75.2
North America,US,Indiana,Fort Wayne,5,25,2009,65.8
North America,US,Georgia,Atlanta,6,2,2019,78.6
Asia,Turkmenistan,,Ashabad,3,29,2018,76.8
North America,US,Oklahoma,Oklahoma City,5,7,1995,65.3
Middle East,Qatar,,Doha,7,1,1996,93.9
South/Central America & Carribean,Nicaragua,,Managua,8,15,2012,80.2
South/Central America & Carribean,Guatemala,,Guatemala City,5,2,2013,70.1
North America,US,Louisiana,Shreveport,12,4,1996,47.0
Europe,Spain,,Madrid,1,8,2016,54.0
Africa,South Africa,,Capetown,9,4,2003,52.7
Africa,Morocco,,Rabat,3,5,2013,60.4
Europe,Romania,,Bucharest,8,20,2000,84.9
North America,US,Pennsylvania,Philadelphia,1,17,1999,42.1
North America,US,Hawaii,Honolulu,12,15,2006,77.1
Asia,Indonesia,,Jakarta,2,10,2020,86.5
North America,US,North Dakota,Fargo,3,8,2020,35.3
Asia,Japan,,Tokyo,10,27,1995,63.6
North America,US,Alaska,Anchorage,7,22,2002,61.4
South/Central America & Carribean,Bolivia,,La Paz,9,24,2013,47.9
North America,US,New Hampshire,Concord,1,18,2009,12.6
Middle East,Kuwait,,Kuwait,10,24,2007,81.2
Australia/South Pacific,New Zealand,,Auckland,5,23,2016,56.1
Middle East,United Arab Emirates,,Dubai,6,23,1996,90.9
Asia,South Korea,,Seoul,9,13,2018,73.4
North America,US,Indiana,Evansville,4,30,2000,59.5
North America,US,Alabama,Mobile,7,21,2011,83.9
North America,US,Ohio,Akron Canton,2,22,2005,32.8
North America,US,Florida,Daytona Beach,4,29,2000,70.8
Europe,Switzerland,,Geneva,12,17,2003,32.9
North America,US,Iowa,Sioux City,11,16,2012,34.1
North America,US,North Dakota,Bismarck,10,28,1996,39.1
North America,US,North Dakota,Bismarck,1,26,1995,8.5
North America,US,Kansas,Wichita,9,6,2019,79.2
Australia/South Pacific,Australia,,Melbourne,2,10,2001,70.0
North America,US,Maryland,Washington DC,11,26,2009,48.4
North America,US,Nevada,Las Vegas,10,8,2017,74.8
North America,US,North Carolina,Raleigh Durham,3,16,1995,61.7
Asia,China,,Guangzhou,12,13,2008,68.3
North America,US,New Mexico,Albuquerque,8,19,2003,80.8
Europe,Switzerland,,Zurich,5,22,2018,61.5
Europe,Poland,,Warsaw,9,30,2007,55.8
North America,US,Pennsylvania,Pittsburgh,1,16,1999,29.0
Europe,United Kingdom,,Belfast,11,6,2015,54.8
North America,US,Ohio,Dayton,9,7,2006,66.9
Africa,Tanzania,,Dar Es Salaam,2,2,2019,84.8
North America,US,West Virginia,Charleston,7,22,2000,70.0
North America,US,West Virginia,Charleston,1,9,2019,40.0
North America,US,Ohio,Toledo,10,18,2001,43.2
Africa,Benin,,Cotonou,7,4,1995,75.6
North America,US,Arizona,Tucson,8,6,2012,87.9
Europe,Bulgaria,,Sofia,7,3,1999,68.5
North America,US,Additional Territories,San Juan Puerto Rico,2,27,2008,76.8
North America,US,Wisconsin,Green Bay,10,2,1996,57.1
Asia,Indonesia,,Jakarta,4,12,2020,84.8
North America,US,New Mexico,Albuquerque,8,21,2009,77.7
Asia,China,,Beijing,1,28,2009,30.3
North America,US,Idaho,Pocatello,12,27,2014,22.4
Middle East,Oman,,Muscat,3,5,2005,73.2
North America,US,Michigan,Grand Rapids,11,4,2018,42.0
North America,US,Iowa,Des Moines,4,11,2005,64.9
Europe,Italy,,Milan,12,11,2009,38.4
North America,US,Texas,Abilene,8,11,2010,87.0
Middle East,United Arab Emirates,,Dubai,6,11,1998,92.4
North America,US,Georgia,Columbus,4,9,2014,59.5
North America,US,Nebraska,North Platte,2,8,2000,37.6
North America,US,Virginia,Norfolk,12,22,2019,39.3
North America,US,North Carolina,Greensboro,12,1,2005,42.2
Asia,Bangladesh,,Dhaka,7,9,2001,-99.0
South/Central America & Carribean,Equador,,Guayaquil,3,4,2011,81.6
North America,US,Louisiana,New Orleans,7,9,2014,79.0
South/Central America & Carribean,Argentina,,Buenos Aires,6,12,2014,64.6
Africa,Ivory Coast,,Abidjan,9,1,2015,75.6
North America,US,Oregon,Portland,9,19,2018,59.7
Europe,Norway,,Oslo,4,17,2001,35.7
Asia,Vietnam,,Hanoi,4,13,2015,75.1
North America,US,Virginia,Richmond,3,1,2006,42.0
South/Central America & Carribean,Equador,,Guayaquil,7,16,1995,75.6
North America,US,West Virginia,Charleston,11,17,2009,59.1
Asia,Japan,,Tokyo,3,22,2003,45.1
North America,US,Alabama,Montgomery,6,29,2013,77.3
South/Central America & Carribean,Colombia,,Bogota,2,2,2003,56.7
North America,US,Montana,Helena,10,4,2005,39.7
Africa,Nigeria,,Lagos,3,27,2010,86.7
North America,US,Rhode Island,Rhode Island,1,21,1996,26.6
Asia,Pakistan,,Islamabad,3,23,2004,66.5
Europe,France,,Paris,3,22,2015,45.1
Asia,Nepal,,Katmandu,11,18,2003,57.6
North America,US,Alaska,Anchorage,2,19,1996,16.9
North America,US,Texas,Wichita Falls,1,19,1995,40.0
North America,US,Florida,Tampa St. Petersburg,1,26,1995,50.5
North America,US,Florida,Tallahassee,10,26,1997,77.2
Europe,Denmark,,Copenhagen,4,1,2015,39.3
Middle East,United Arab Emirates,,Dubai,7,21,2003,97.3
South/Central America & Carribean,Colombia,,Bogota,3,31,2005,56.2
Africa,Tunisia,,Tunis,1,27,2000,52.7
North America,US,Maryland,Washington DC,2,23,2010,39.0
North America,US,California,Fresno,8,15,2004,77.5
Asia,India,,Delhi,12,26,1998,51.7
North America,US,Louisiana,Shreveport,8,16,2015,85.3
North America,US,Arizona,Tucson,10,5,1998,70.3
North America,US,Pennsylvania,Allentown,5,23,2003,53.7
North America,US,New York,New York City,4,15,2012,68.5
North America,US,New York,Syracuse,11,19,2011,45.8
North America,US,New York,New York City,11,6,2019,52.5
Middle East,Qatar,,Doha,3,30,2017,79.6
North America,US,Oregon,Salem,10,24,2003,50.6
North America,US,Kansas,Topeka,10,13,2016,46.3
Africa,Gambia,,Banjul,7,13,1998,79.1
Africa,Morocco,,Rabat,4,25,2006,60.3
South/Central America & Carribean,Equador,,Quito,4,12,1995,-99.0
South/Central America & Carribean,Guatemala,,Guatemala City,7,21,2003,67.1
Australia/South Pacific,Australia,,Melbourne,8,16,2008,53.5
North America,US,Arizona,Tucson,8,4,2014,86.7
North America,US,Indiana,South Bend,3,5,1997,34.9
North America,US,Tennessee,Nashville,12,17,1996,40.6
Asia,China,,Chengdu,5,5,2017,62.1
Middle East,United Arab Emirates,,Dubai,10,11,2000,85.5
Europe,Germany,,Hamburg,7,2,2005,-99.0
North America,US,Alabama,Huntsville,3,2,2000,53.4
North America,US,Indiana,Indianapolis,12,23,1999,22.6
North America,US,Alabama,Huntsville,8,24,1996,76.2
Europe,France,,Bordeaux,1,31,2006,39.0
Asia,India,,Calcutta,8,13,2003,83.9
North America,US,New Hampshire,Concord,11,19,2014,26.1
Europe,Portugal,,Lisbon,11,8,2004,59.8
Asia,China,,Guangzhou,8,26,2005,80.9
North America,US,South Carolina,Charleston,5,10,2007,72.9
North America,US,Florida,Miami Beach,6,27,2018,82.9
South/Central America & Carribean,Venezuela,,Caracas,12,29,2015,78.2
North America,US,Nevada,Las Vegas,11,13,2016,65.5
North America,US,Texas,Midland Odessa,3,14,1998,57.1
North America,US,Montana,Helena,8,10,2011,68.3
North America,US,Michigan,Lansing,7,23,1998,71.9
North America,US,Michigan,Detroit,12,22,2013,34.6
Europe,Ukraine,,Kiev,1,27,2005,23.9
North America,US,Alaska,Fairbanks,7,5,2014,77.2
North America,US,New York,Rochester,10,24,2011,51.1
North America,US,Alabama,Huntsville,6,11,2005,72.4
North America,US,Indiana,Fort Wayne,9,5,1996,70.7
North America,US,South Carolina,Charleston,10,10,2015,71.6
North America,US,Delaware,Wilmington,9,9,2010,67.6
Europe,Yugoslavia,,Belgrade,8,4,2011,71.7
North America,US,Georgia,Columbus,4,14,1999,65.8
Europe,Italy,,Milan,6,14,2003,81.7
Europe,Cyprus,,Nicosia,8,29,1996,87.8
Asia,Taiwan,,Taipei,5,22,2013,78.1
North America,US,North Carolina,Charlotte,1,30,1995,31.5
North America,US,Alabama,Huntsville,11,22,2017,45.9
Africa,Benin,,Cotonou,1,13,2013,82.3
Asia,India,,Calcutta,8,22,2011,85.2
North America,US,Ohio,Cincinnati,3,12,1995,57.7
South/Central America & Carribean,Brazil,,Sao Paulo,1,3,1998,78.3
North America,US,Michigan,Lansing,11,3,2015,60.3
North America,US,Michigan,Lansing,9,3,2015,73.8
North America,US,Minnesota,Duluth,6,2,2001,50.1
North America,US,South Dakota,Sioux Falls,5,1,1997,40.8
Africa,Zambia,,Lusaka,4,5,2000,75.8
North America,US,North Carolina,Charlotte,10,24,2015,64.7
Asia,Indonesia,,Jakarta,2,17,2001,80.1
Middle East,Qatar,,Doha,10,22,2000,82.9
Africa,Nigeria,,Niamey,10,1,1999,87.2
North America,US,Ohio,Columbus,10,13,2015,60.7
Africa,Namibia,,Windhoek,7,8,2004,56.6
North America,US,Mississippi,Jackson,10,29,1999,63.1
Africa,Mauritania,,Nouakchott,7,19,2002,79.4
North America,US,Texas,Midland Odessa,7,26,2005,83.8
Europe,Portugal,,Lisbon,8,23,2004,72.8
Europe,Germany,,Frankfurt,12,1,2004,44.4
North America,US,North Carolina,Asheville,5,23,2009,64.6
North America,US,Texas,San Angelo,4,12,2014,77.3
North America,US,Illinois,Peoria,3,3,2000,35.5
Africa,Guinea,,Conakry,9,7,2000,80.1
North America,US,Maine,Caribou,11,19,2005,20.4
North America,US,North Dakota,Bismarck,4,19,1995,39.0
Asia,Malaysia,,Kuala Lumpur,12,2,2000,79.6
North America,US,Ohio,Cleveland,2,27,2009,46.4
North America,US,Kentucky,Lexington,7,5,2019,78.9
North America,Canada,,Calgary,7,9,2011,60.7
Asia,Bangladesh,,Dhaka,1,7,1999,67.7
Middle East,Saudi Arabia,,Dhahran,2,13,1999,64.6
North America,US,Oklahoma,Oklahoma City,3,16,1996,51.9
North America,US,Pennsylvania,Allentown,11,9,2016,49.3
North America,US,Texas,El Paso,5,18,2019,73.1
North America,US,District of Columbia,Washington,5,29,2002,73.2
South/Central America & Carribean,Cuba,,Havana,3,9,2004,68.4
North America,US,Maryland,Washington DC,1,16,2014,39.2
North America,US,Idaho,Boise,6,13,2003,74.0
North America,US,Oregon,Portland,1,1,2014,43.0
Europe,Finland,,Helsinki,12,23,2005,21.2
North America,US,Wyoming,Casper,7,1,2008,74.8
South/Central America & Carribean,Dominican Republic,,Santo Domingo,4,30,2002,79.7
North America,US,Oregon,Eugene,9,15,2002,61.2
Europe,Bulgaria,,Sofia,9,12,2017,73.0
Europe,Romania,,Bucharest,6,19,2019,77.5
North America,Canada,,Halifax,11,11,1997,44.5
Asia,Mongolia,,Ulan-bator,1,5,2004,-10.4
South/Central America & Carribean,Barbados,,Bridgetown,11,21,1998,82.1
North America,US,Ohio,Youngstown,4,25,2017,58.6
Africa,Togo,,Lome,5,29,2003,81.5
North America,US,Wyoming,Cheyenne,12,25,2003,34.2
North America,US,Kentucky,Lexington,7,21,1996,70.7
North America,US,Oregon,Salem,5,17,1995,55.4
Middle East,Oman,,Muscat,9,22,2005,88.2
Africa,Ivory Coast,,Abidjan,11,28,2003,82.1
Europe,Croatia,,Zagreb,8,23,2005,64.6
Europe,Cyprus,,Nicosia,6,21,2009,82.0
Africa,Gambia,,Banjul,6,22,2018,78.8
Middle East,Turkey,,Ankara,4,4,1996,50.0
North America,US,District of Columbia,Washington,8,20,2019,84.7
North America,US,Illinois,Rockford,8,5,2015,69.9
Europe,Portugal,,Lisbon,2,11,1998,60.0
North America,US,Texas,Austin,12,24,2017,42.1
North America,US,Michigan,Sault Ste Marie,5,1,2002,41.6
North America,US,Oregon,Portland,10,29,2005,51.3
North America,US,Oklahoma,Tulsa,9,12,2001,73.6
North America,US,Texas,Corpus Christi,10,31,2015,77.1
North America,US,Massachusetts,Boston,9,8,2002,75.2
Middle East,Lebanon,,Beirut,6,22,2001,78.9
North America,US,North Carolina,Greensboro,5,20,2001,69.6
North America,US,California,Sacramento,11,16,1995,60.0
Europe,Yugoslavia,,Belgrade,5,20,2009,70.2
North America,US,Washington,Seattle,2,3,2008,36.9
Europe,France,,Paris,7,1,1996,62.3
South/Central America & Carribean,Bolivia,,La Paz,7,12,2004,41.2
Africa,Mauritania,,Nouakchott,8,31,2011,85.1
North America,US,Georgia,Macon,10,22,2001,64.7
North America,US,Maine,Caribou,8,8,2016,62.3
Europe,Spain,,Barcelona,12,31,2017,54.2
Africa,Madagascar,,Antananarivo,5,18,1995,60.8
Africa,Algeria,,Algiers,9,3,2009,80.0
Africa,Tunisia,,Tunis,3,15,1996,53.9
North America,US,Pennsylvania,Harrisburg,9,15,2004,65.5
Africa,Burundi,,Bujumbura,11,30,1995,81.4
North America,US,North Dakota,Bismarck,10,1,1997,63.7
Africa,Nigeria,,Niamey,6,5,1999,88.7
Europe,The Netherlands,,Amsterdam,9,29,2006,64.1
North America,US,Vermont,Burlington,11,15,2019,35.5
North America,US,Texas,El Paso,2,6,2004,40.1
North America,US,North Carolina,Asheville,11,23,1995,38.1
North America,US,Georgia,Macon,10,19,2006,72.0
North America,US,Idaho,Pocatello,6,27,2003,67.9
Europe,The Netherlands,,Amsterdam,4,1,2017,50.4
